artist_name;Conteggio di artist_name;Foto
Anna Oxa;13;https://digilander.libero.it/tvoxa/foto/99_18.JPG
Matia Bazar;12;https://www.radioflash.fm/wp-content/uploads/2023/03/e3eb7cf06855698d35f43779e91712c1.jpeg
Michele Zarrillo;12;https://www.radiomargherita.com/wp-content/uploads/2016/04/MICHELE-ZARRILLO.jpg
Toto Cutugno;12;https://upload.wikimedia.org/wikipedia/commons/4/41/Cutugno_vincitore_Festival_di_Sanremo_1980.jpg
